level,trades,volume,premium
664.88,242,3351347,2228243593
660.70,417,3192097,2109018488
660.71,384,1873274,1237690865
660.64,433,529166,349588226
660.34,671,279094,184296932
658.97,413,170954,112653557
659.50,432,98293,64824234
660.26,894,72377,47787638
666.75,1379,66073,44054173
660.24,778,62178,41052403
666.74,1048,60354,40240426
666.60,918,57913,38604806
660.28,789,58461,38600629
660.22,688,58435,38579956
666.62,1079,54879,36583439
660.33,655,54918,36264003
667.67,826,54111,36128291
666.76,991,53610,35745004
660.03,519,53438,35270683
667.50,870,52819,35256683
666.63,906,52508,35003408
666.70,1048,52490,34995083
660.29,765,52330,34552976
660.00,894,51933,34275780
660.27,836,51310,33878454
667.25,1115,50258,33534651
666.88,1025,49911,33284648
660.79,454,49623,32790382
660.01,646,48993,32335870
667.23,1103,47567,31738129
660.36,571,47978,31682752
660.25,896,47637,31452329
658.37,332,47409,31212663
666.46,574,46351,30891087
666.53,514,45954,30629720
660.21,708,45752,30205928
660.15,592,44946,29671102
666.66,820,43502,29001043
660.32,769,43791,28916073
666.73,1000,43250,28836073
660.61,418,43180,28525140
666.86,798,42737,28499596
660.37,563,43066,28439494
667.28,851,42581,28413450
660.50,579,42678,28188819
667.86,731,42157,28154974
660.04,583,42511,28058960
659.88,566,42432,28000028
660.57,456,42336,27965892
667.00,790,41829,27899943
666.41,640,41769,27835279
660.35,603,41396,27335849
660.52,466,41265,27256358
666.93,745,40697,27142050
660.20,668,40336,26629827
667.24,989,39906,26626879
660.12,653,40325,26619339
660.78,465,40283,26618201
666.79,780,39860,26578249
659.99,569,40225,26548098
666.95,664,39663,26453238
658.79,384,40010,26358188
666.39,692,39237,26147144
666.67,779,38939,25959463
660.38,574,39294,25948972
658.88,473,39234,25850498
666.50,661,38670,25773555
666.78,766,38634,25760379
659.37,367,39004,25718067
666.38,1009,38357,25560338
666.72,870,38289,25528042
658.35,345,38656,25449178
666.40,703,38149,25422494
660.11,585,38509,25420176
667.62,898,38029,25388921
666.35,733,38028,25339958
660.88,618,38136,25203320
666.00,340,37801,25175466
660.06,509,38088,25140365
660.49,430,38051,25132305
667.10,884,37605,25086296
666.82,892,37463,24981078
667.12,736,37444,24979641
667.22,968,37372,24935346
660.09,645,37763,24926979
659.96,493,37761,24920750
659.89,527,37765,24920746
667.68,786,37316,24915147
658.33,508,37610,24759791
660.47,486,37379,24687708
660.31,582,37312,24637487
666.64,902,36865,24575684
666.80,810,36771,24518903
666.87,903,36472,24322083
666.83,1050,36461,24313289
658.64,442,36869,24283398
660.05,558,36775,24273339
666.34,658,36408,24260107
667.09,874,36328,24234046
660.39,464,36661,24210558
660.55,436,36440,24070442
667.65,723,35888,23960623
666.85,892,35862,23914575
660.23,624,36149,23866654
659.62,426,36152,23846582
660.75,511,35992,23781714
667.05,631,35635,23770327
666.68,912,35642,23761809
660.30,653,35919,23717316
666.89,3104,35421,23621911
660.02,683,35697,23560734
666.43,566,35321,23538974
660.08,660,35482,23420959
658.36,472,35399,23305286
666.84,899,34823,23221369
666.77,816,34783,23192261
659.95,482,35107,23168865
660.46,498,34960,23089682
666.57,749,34593,23058656
666.71,851,34579,23054165
660.60,436,34869,23034461
660.41,409,34795,22978966
666.81,623,34405,22941598
666.55,704,34308,22867997
666.92,796,33987,22666610
667.20,891,33945,22648104
660.59,489,34263,22633795
659.75,534,34295,22626126
662.74,363,34113,22608050
666.37,785,33923,22605270
666.65,912,33884,22588769
660.54,502,34155,22560744
658.84,318,34222,22546822
660.58,360,34089,22518512
665.01,336,33860,22517239
666.61,809,33758,22503420
663.24,432,33715,22361137
660.43,429,33646,22220828
665.72,319,33342,22196436
660.44,442,33493,22120117
660.07,635,33450,22079342
662.75,497,33212,22011253
658.82,318,33372,21986141
667.27,882,32877,21937836
660.82,538,33188,21931294
658.31,371,33253,21890782
659.74,348,33158,21875659
666.29,583,32744,21817000
666.56,509,32722,21811176
660.45,476,32964,21771074
667.59,852,32469,21675980
659.01,413,32884,21670885
666.97,640,32350,21576480
659.20,407,32574,21472781
666.30,602,32203,21456859
659.98,524,32479,21435490
667.54,674,31849,21260481
660.83,503,32160,21252293
666.42,654,31844,21221478
660.77,437,31995,21141336
658.56,449,32084,21129239
660.10,560,32005,21126501
659.93,430,31969,21097302
660.74,382,31911,21084874
660.84,509,31840,21041146
660.16,530,31784,20982525
660.14,570,31663,20902013
666.31,466,31344,20884821
658.71,464,31668,20860028
660.80,406,31565,20858152
659.84,456,31575,20834448
667.60,867,31191,20823112
658.76,478,31596,20814181
658.68,511,31565,20791234
666.54,599,31148,20761388
667.07,794,31053,20714525
663.39,560,31210,20704402
659.72,395,31374,20698055
667.47,726,31000,20691570
663.37,504,31173,20679233
659.76,449,31282,20638612
666.23,468,30916,20597167
659.25,506,31229,20587718
660.62,456,31045,20508948
666.99,655,30674,20459251
659.34,322,31000,20439540
660.18,622,30723,20282710
660.13,531,30654,20235625
667.89,620,30287,20228384
659.90,392,30583,20181722
660.19,511,30239,19963485
662.62,369,30107,19949500
667.82,854,29822,19915728
659.07,389,30155,19874256
658.92,476,30082,19821631
659.40,392,29884,19705510
659.68,408,29828,19676935
667.08,788,29496,19676192
666.45,620,29511,19667606
658.89,417,29809,19640852
667.64,760,29349,19594566
667.88,755,29297,19566880
667.48,765,29279,19543147
658.25,400,29661,19524353
663.22,472,29377,19483414
666.44,433,29145,19423394
660.76,370,29352,19394628
658.75,513,29439,19392941
660.81,360,29302,19363055
666.36,600,29027,19342432
667.49,732,28925,19307148
666.32,562,28931,19277304
665.95,339,28873,19227974
663.25,423,28970,19214353
661.64,531,28737,19013549
667.01,592,28503,19011786
666.33,646,28532,19011728
659.33,365,28787,18980133
658.67,521,28627,18855746
660.53,466,28471,18805950
658.38,451,28537,18788190
660.48,407,28445,18787354
658.52,386,28512,18775722
660.86,485,28393,18763798
667.83,913,28062,18740645
660.89,466,28338,18728301
658.65,540,28381,18693146
666.59,766,27864,18573864
661.75,345,28024,18544882
667.58,720,27766,18536026
662.72,428,27942,18517722
666.98,649,27701,18476013
660.87,422,27925,18454795
658.57,415,27983,18428764
666.91,678,27609,18412718
658.39,405,27965,18411876
659.97,492,27863,18388744
658.74,447,27914,18388068
658.63,438,27793,18305304
662.65,470,27608,18294441
667.51,718,27331,18243716
659.82,457,27646,18241384
660.68,432,27555,18205037
659.12,410,27512,18133709
659.59,436,27492,18133448
659.83,448,27447,18110354
658.40,339,27504,18108634
667.70,758,27052,18062620
659.71,406,27356,18047027
663.38,509,27162,18018728
660.73,357,27170,17952034
667.21,913,26861,17921928
658.54,430,27208,17917556
662.46,352,27029,17905631
660.72,389,27094,17901548
667.15,694,26773,17861607
665.88,413,26816,17856238
663.21,405,26837,17798567
667.33,759,26599,17750311
660.51,415,26772,17683174
667.63,688,26477,17676840
664.50,411,26593,17671049
660.85,516,26705,17647999
666.90,785,26458,17644840
659.04,365,26763,17637888
660.17,571,26713,17635121
660.56,309,26693,17632328
659.53,376,26711,17616706
659.57,377,26691,17604583
667.19,696,26352,17581791
658.86,361,26663,17567184
659.21,442,26647,17565969
659.69,302,26548,17513450
658.61,306,26563,17494657
660.67,400,26369,17421207
658.70,500,26443,17418004
660.92,412,26213,17324696
664.67,517,26064,17323959
662.93,310,26122,17317057
659.87,466,26217,17299812
666.96,641,25922,17288937
666.69,698,25876,17251270
667.66,788,25829,17244990
667.80,723,25684,17151775
665.02,322,25775,17140891
659.13,345,25900,17071467
661.28,368,25618,16940671
659.78,397,25593,16885750
659.47,267,25433,16772301
666.47,506,24976,16645755
665.90,356,24996,16644836
658.83,339,25255,16638752
660.42,441,25181,16630036
658.55,439,25252,16629705
658.87,341,25131,16558062
658.98,364,25089,16533149
659.18,361,24976,16463680
667.03,574,24640,16435619
659.85,432,24728,16316771
666.51,452,24478,16314832
658.96,478,24701,16276971
662.77,314,24549,16270341
666.48,424,24361,16236119
667.17,750,24231,16166196
658.80,386,24425,16091190
667.13,571,24109,16083837
658.42,304,24425,16081909
661.81,354,24272,16063452
658.32,358,24395,16059716
658.93,430,24368,16056806
659.42,340,24315,16033797
663.03,244,24088,15971067
667.16,673,23831,15899090
659.61,459,24022,15845151
659.91,439,23955,15808144
663.23,416,23833,15806761
667.84,878,23539,15720286
663.32,356,23688,15712724
658.66,541,23823,15691257
665.12,337,23580,15683530
660.93,378,23662,15638926
667.18,760,23399,15611345
662.64,422,23503,15574028
659.30,384,23526,15510692
659.48,398,23514,15507013
663.20,379,23366,15496331
659.65,375,23467,15480007
663.19,354,23300,15452327
658.62,429,23449,15443980
660.66,355,23374,15442267
659.38,365,23399,15428833
666.18,561,23120,15402082
660.69,367,23270,15374256
658.90,461,23332,15373455
658.53,404,23339,15369432
667.29,776,23002,15349005
661.63,503,23123,15298870
661.27,361,23129,15294514
659.55,440,23175,15285071
666.21,562,22943,15284856
663.41,422,23021,15272362
661.82,378,23055,15258260
659.08,368,23137,15249134
663.36,415,22914,15200231
667.45,570,22771,15198504
662.76,305,22929,15196424
659.00,544,23011,15164249
659.03,389,22986,15148464
662.70,359,22857,15147334
660.91,396,22917,15146074
658.59,319,22932,15102786
659.41,353,22787,15025976
659.10,408,22762,15002434
659.29,373,22732,14986980
659.23,447,22686,14955292
664.61,414,22500,14953725
659.52,352,22661,14945383
667.87,688,22276,14877472
667.61,776,22266,14865004
659.19,321,22475,14815295
667.30,657,22175,14797378
667.71,728,22096,14753720
666.20,641,22129,14742340
666.58,746,22110,14738084
664.69,558,22172,14737507
664.42,278,22097,14681689
667.85,666,21939,14651961
659.24,421,22222,14649631
663.42,490,22065,14638362
659.36,339,22183,14626583
665.33,153,21936,14594679
665.24,328,21901,14569421
666.24,367,21809,14530028
659.64,359,22027,14529890
667.79,713,21741,14518422
664.68,536,21826,14507306
659.60,428,21990,14504604
659.32,370,21997,14503062
658.28,396,22021,14495984
660.40,401,21870,14442948
661.66,467,21824,14440068
659.58,384,21886,14435568
667.11,690,21634,14432258
658.95,468,21900,14431005
662.50,402,21675,14359688
663.11,275,21648,14355005
658.78,422,21776,14345593
665.74,334,21539,14339374
665.62,328,21484,14300180
662.61,348,21577,14297136
659.46,294,21657,14281925
667.34,812,21399,14280409
661.68,481,21420,14173186
667.06,560,21229,14161017
663.50,445,21286,14123261
667.57,734,21146,14116435
659.80,399,21385,14109823
658.73,413,21405,14100116
659.94,359,21350,14089719
665.00,371,21178,14083370
665.78,246,21144,14077252
663.13,216,21222,14072945
659.77,429,21319,14065637
667.55,568,21064,14061273
659.92,429,21305,14059596
667.26,942,21011,14019800
659.73,343,21246,14016624
660.65,406,21143,13968123
664.70,592,21009,13964682
667.40,524,20893,13943988
661.59,480,21076,13943671
667.69,634,20801,13888620
666.19,335,20836,13880735
659.31,323,21051,13879135
667.32,822,20785,13870246
665.84,298,20805,13852801
662.63,400,20893,13844329
667.31,583,20722,13827998
659.66,366,20918,13798768
667.36,723,20670,13794331
661.57,391,20825,13777195
664.44,250,20713,13762546
667.76,591,20578,13741165
667.52,736,20560,13724211
666.27,544,20590,13718499
666.52,543,20557,13701652
658.77,393,20789,13695170
658.58,374,20778,13683975
661.62,582,20635,13652529
662.97,299,20589,13649889
659.14,341,20667,13622446
667.95,395,20380,13612821
658.72,424,20616,13580172
665.75,308,20332,13536029
665.91,340,20218,13463368
660.97,258,20360,13457349
663.10,317,20263,13436395
667.53,574,20120,13430704
667.14,608,20111,13416853
660.95,330,20296,13414641
661.26,433,20270,13403740
658.99,360,20302,13378815
659.70,375,20239,13351668
658.85,279,20245,13338418
662.67,391,20093,13315028
662.73,395,20066,13298340
663.09,341,20021,13275725
660.63,373,20093,13274039
664.75,407,19925,13245144
658.05,320,20123,13241940
665.13,383,19905,13239413
667.04,605,19813,13216064
659.06,317,20010,13187791
659.02,383,19967,13158652
667.81,687,19700,13155857
662.66,387,19793,13116029
666.25,614,19669,13104471
662.39,390,19780,13102074
664.57,398,19696,13089371
664.63,458,19680,13079918
658.81,314,19820,13057614
662.88,305,19673,13040838
659.27,407,19757,13025197
658.91,424,19751,13014131
663.18,329,19609,13004297
665.86,302,19505,12987599
667.46,650,19458,12987437
664.10,308,19476,12934012
664.73,352,19451,12929663
658.45,305,19622,12920106
658.11,273,19626,12916067
663.34,420,19459,12907933
664.60,357,19361,12867321
658.10,276,19548,12864539
663.30,300,19347,12832865
662.99,261,19350,12828857
658.18,362,19479,12820688
663.43,431,19291,12798228
667.72,704,19163,12795518
658.69,414,19328,12731160
662.71,385,19210,12730659
664.71,445,19119,12708590
659.63,354,19226,12682046
666.28,423,19024,12675311
667.38,536,18973,12662201
662.59,308,19096,12652819
663.26,324,19034,12624491
665.73,310,18940,12608926
658.03,225,19109,12574295
663.51,454,18940,12566879
658.94,339,19033,12541605
658.50,387,18940,12471990
659.67,343,18899,12467103
662.60,348,18784,12446278
660.90,376,18768,12403771
665.04,309,18589,12362429
661.23,360,18683,12353760
660.96,295,18688,12352020
661.09,251,18624,12312140
665.92,317,18466,12296879
664.41,264,18468,12270324
661.76,385,18457,12214104
663.06,239,18407,12204945
659.49,379,18450,12167591
659.39,290,18424,12148601
658.12,345,18366,12087032
659.26,357,18295,12061162
659.79,361,18216,12018735
663.40,452,18068,11986311
663.00,405,18053,11969139
658.04,244,18141,11937504
659.09,303,18090,11922938
661.25,457,17988,11894565
658.17,326,18063,11888525
658.16,323,17990,11840298
665.71,296,17754,11819015
658.30,408,17937,11807927
662.04,297,17782,11772395
662.87,258,17722,11747382
667.90,476,17536,11712294
661.85,397,17679,11700846
664.16,184,17611,11696522
662.96,301,17642,11695940
664.91,259,17590,11695767
658.20,361,17768,11694898
667.02,535,17520,11686190
659.15,379,17617,11612246
658.00,390,17626,11597908
664.76,371,17424,11582778
663.46,434,17451,11578040
667.56,606,17337,11573488
664.54,315,17311,11503852
658.29,363,17435,11477286
661.14,282,17342,11465490
658.41,308,17383,11445141
658.26,363,17379,11439901
661.29,347,17284,11429736
658.43,308,17323,11405983
667.75,560,17058,11390480
658.24,299,17263,11363197
658.01,190,17263,11359227
667.73,664,16961,11325369
667.39,535,16956,11316265
662.51,332,17037,11287183
664.13,258,16977,11274935
664.43,277,16941,11256109
664.58,322,16920,11244694
662.45,307,16929,11214616
662.53,330,16918,11208683
659.51,298,16954,11181333
663.12,242,16858,11178877
662.00,413,16816,11132192
664.66,493,16696,11097163
661.60,538,16770,11095032
665.67,278,16658,11088731
659.43,282,16796,11075786
663.56,316,16682,11069508
663.47,556,16644,11042795
